Site,Plot,Bag and biomass (g),Bag Weight (g),Standing Biomass
Judd_Falls,1,268.27,52.65,215.62
Judd_Falls,2,200.36,60.32,140.04
Judd_Falls,3,210.19,62.55,147.64
Judd_Falls,4,228.95,54.27,174.68
Judd_Falls,5,277.31,55.89,221.42
Brush_Creek,1,379.79,60.26,319.53
Brush_Creek,2,335.28,60.69,274.59
Brush_Creek,3,383.21,60.56,322.65
Brush_Creek,4,378.12,60.75,317.37
Brush_Creek,5,538.47,53.39,485.08
Almont_Obs,1,76.52,57.24,19.28
Almont_Obs,2,117.72,57.44,60.28
Almont_Obs,3,95.71,57.59,38.12
Almont_Obs,4,138.34,58.04,80.3
Almont_Obs,5,107.79,57.72,50.07
Cinni_Top,1,138.48,61.22,77.26
Cinni_Top,2,132.57,62.47,70.1
Cinni_Top,3,161.92,62.01,99.91
Cinni_Top,4,160.61,61.6,99.01
Cinni_Top,5,164.61,61.84,102.77
Cinnamon_Obs,1,132.89,58.76,74.13
Cinnamon_Obs,2,125.67,58.13,67.54
Cinnamon_Obs,3,140.2,62.49,77.71
Cinnamon_Obs,4,141.12,61.97,79.15
Cinnamon_Obs,5,117.12,58.01,59.11
Maxfield,1,167.54,62.67,104.87
Maxfield,2,239.79,62.96,176.83
Maxfield,3,176.3,56.09,120.21
Maxfield,4,259.8,61.89,197.91
Maxfield,5,195.01,62.01,133
